기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수
20250508,277810,레인보우로보틱스,KOSDAQ,기술성장기업부,282500,1500,0.53,283000,283000,277000,54778,154.0,54805.0,19399858,59849.0,91.6
20250508,215100,로보로보,KOSDAQ,벤처기업부,4560,120,2.7,4440,4625,4415,517451,23.5,928.0,20348454,1032.0,89.9
20250508,090360,로보스타,KOSDAQ,중견기업부,25300,0,0.0,25300,25400,24950,41178,10.4,2467.0,9750000,2467.0,100.0
20250508,108490,로보티즈,KOSDAQ,기술성장기업부,37350,500,1.36,37300,38100,36500,436327,162.8,4935.0,13212660,4935.0,100.0
20250508,900260,로스웰,KOSDAQ,외국기업(소속부없음),549,6,1.1,540,550,540,31584,0.2,198.0,36031288,211.0,93.8
20250508,067730,로지시스,KOSDAQ,중견기업부,2945,-25,-0.84,2955,2970,2915,25764,0.8,285.0,9673922,316.0,90.2
20250508,071280,로체시스템즈,KOSDAQ,우량기업부,14590,90,0.62,14500,14680,14360,12786,1.9,2232.0,15296603,2752.0,81.1
20250508,032350,롯데관광개발,KOSPI,,10920,50,0.46,10820,11000,10700,387501,42.1,8321.0,76196183,8321.0,100.0
20250508,089860,롯데렌탈,KOSPI,,31000,1250,4.2,29900,31300,29800,102319,31.3,11256.0,36309388,11256.0,100.0
20250508,330590,롯데리츠,KOSPI,,3620,0,0.0,3620,3650,3605,133358,4.8,10461.0,288968884,10504.0,99.6
20250508,000400,롯데손해보험,KOSPI,,1604,-81,-4.81,1685,1685,1604,414218,6.8,4978.0,310336320,5623.0,88.5
20250508,023530,롯데쇼핑,KOSPI,,66500,-200,-0.3,66500,66800,65400,78441,51.9,18812.0,28288755,19265.0,97.6
20250508,020150,롯데에너지머티리얼즈,KOSPI,,22650,450,2.03,22300,22800,22300,36625,8.3,11861.0,52365463,13877.0,85.5
20250508,280360,롯데웰푸드,KOSPI,,115100,-1700,-1.46,116400,117700,115100,13472,15.6,10859.0,9434574,11680.0,93.0
20250508,286940,롯데이노베이트,KOSPI,,18940,-50,-0.26,19000,19090,18880,5095,1.0,2866.0,15129367,3006.0,95.3
20250508,004000,롯데정밀화학,KOSPI,,36150,650,1.83,35500,36500,35400,65181,23.6,9327.0,25800000,10617.0,87.8
20250508,004990,롯데지주,KOSPI,,23050,200,0.88,22700,23200,22700,142032,32.8,24182.0,104909237,24391.0,99.1
